Email,Status
leonarda@howell-schulist.co,sent
kamala@barrows.co,failed
myong_vandervort@langosh.biz,bounced
keven.krajcik@hauck.net,bounced
arturo.gottlieb@mccullough-johnson.com,failed
gary@keebler-parisian.com,opened
bernie@stokes.info,bounced
cesar.quitzon@steuber.name,opened
williams@mosciski.info,sent
doug.windler@dietrich.io,failed
gaston@mohr.name,opened
bulah.bradtke@torp.biz,opened
marna.hartmann@larkin.biz,failed
victor_schroeder@flatley-barton.info,sent
lorri@hodkiewicz.com,bounced
joe@schimmel-wilkinson.name,failed
glen@sawayn.co,delivered
leila.lang@mills-tromp.io,failed
tu@strosin.name,delivered
marty_donnelly@collier-erdman.biz,delivered
carry.kozey@gleichner-green.org,failed
wilbert.zemlak@heaney.net,bounced
darren_mohr@durgan.io,bounced
jeni@dare-larkin.net,sent
leisa_spencer@hoppe-champlin.com,sent
tam@flatley-sporer.com,delivered
mathew_bode@abbott-pacocha.net,delivered
gladis@labadie.com,opened
hank.williamson@kautzer.io,opened
elisha@hintz-shields.info,sent
fe@nader-nitzsche.biz,delivered
rebecka@oberbrunner-oconnell.co,opened
lea@bednar.com,bounced
jessie_okon@bradtke.co,opened
leslie@daugherty-predovic.co,sent
stephany_jacobson@effertz-pacocha.org,bounced
frieda@cruickshank-hintz.info,opened
trinidad_roob@nikolaus-haley.net,bounced
broderick_schumm@crist.net,sent
gudrun_kreiger@botsford-armstrong.org,delivered
sharice@bergnaum.org,opened
elden_glover@harris.io,opened
walton@beer-hermiston.info,failed
wilson.pfannerstill@thiel-kozey.name,opened
adolfo@legros-pacocha.io,bounced
gary@labadie.co,bounced
jamila_botsford@pacocha-gerlach.net,bounced
wynell_koepp@herman.biz,sent
hipolito@marks-morar.io,failed
meagan_stiedemann@marquardt-legros.info,failed
delora_breitenberg@runolfsson.io,bounced
vesta@bogisich.net,bounced
inell@gleichner.org,sent
mandi_streich@oberbrunner.co,opened
reed_bogisich@gottlieb.com,delivered
alfonso_vandervort@stracke.com,failed
theo@farrell.biz,sent
selma@kreiger.co,bounced
irmgard.bins@schimmel-oconnell.com,failed
charity.reilly@walker-sipes.com,bounced
beryl@koepp-herman.io,sent
astrid@torp-nicolas.org,bounced
ella@gerlach.co,bounced
hiram@watsica.net,opened
nathaniel@nienow.name,sent
orlando_rau@conn.co,failed
gennie@runolfsdottir-lakin.name,sent
bruce@von-hansen.org,failed
blythe.grimes@johnston-wilkinson.name,delivered
hershel.anderson@smith-daugherty.name,delivered
broderick@jakubowski-dietrich.net,sent
emilio@johnston.com,bounced
lionel_robel@balistreri.com,failed
porter@hettinger.io,failed
brandee@bogisich.org,failed
arnulfo@ruecker.name,delivered
caren@tremblay.org,delivered
myron@hilll-keeling.net,opened
shiloh_dietrich@thompson-cole.com,sent
lashay.hartmann@cruickshank.co,failed
angle@cronin.biz,delivered
audria.smitham@emmerich.io,opened
denita_homenick@schaefer.co,delivered
tillie.gutkowski@ferry.co,delivered
cedric_hoppe@conroy-king.net,failed
hong.becker@roob-carroll.io,opened
luz_romaguera@mraz-wintheiser.com,sent
eloy@hettinger.info,sent
graig_osinski@mccullough.name,delivered
leo_wiegand@hahn.co,failed
darryl@hayes-grant.biz,delivered
hedy_heathcote@doyle-goldner.name,bounced
